'image/svg+xml',
'BF','ELM CT',
'EP','ELMO AVE',
'BF','EMDEN AVE',
'BF','EMPRESS LANE',
'BF','ERIC CT',
'BF','EVANS LANE',
'BF','FACKLER RD',
'SL','FAIRBANKS PLACE',
'EP','FAIRFIELD AVE',
'LES','FAIRVIEW TER',
'LES','FAIRWAY CT',
'BF','FEATHERBED CT',
'BF','FEDERAL CITY RD (#86-#220)',
'BF','FEDERAL POINT BLD',
'SL','FEILER CT',
'EP','FERNWOOD LANE',
'EP','FIELDBORO DR',
'EP','FIELDCREST CT',
'SL','FILLMORE PLACE',
'BF','FLANNIGAN ST',
'EP','FLORHAM DR',
'EP','FOCH AVE',
'EP','FORREST AVE',
'LES','FOUNTAYNE LANE',
'BF','FOXCROFT DR',
'EP','FOXTAIL CT',
'BF','FRANKLIN CORNER RD',
'BF','FRANKLIN CORNER 161 APT',
'BF','FRANKLIN CORNER 180 APT',
'LES','FRED VEREEN JR. RD',
'EP','FREDERICK CT',
'SL','FREEDOM BLVD/CT',
'EP','GAINSBORO RD',
'LES','GALLO CT',
'EP','GARDEN RD',
'EP','GARRY CT',
'EP','GEDNEY RD',
'LES','GEORGE ST',
'BF','GERVIN RD',
'SL','GILPIN CT',
'LES','GLENBROOK CT','GLENN AVE',
'BF','282 & UP',
'EP','280 & DOWN',
'SL','GLENVIEW DR',
'BF','GOLDEN PLACE',
'LES','GORDON AVE',
'SL','GRAF AVE',
'LES','GRANDVIEW AVE',
